Country_Best,registrations,attendance,attendance_rate
Argentina,4,1,0.25
Bolivia,2,0,0.0
Brasil,3,1,0.3333333333333333
Chile,11,4,0.36363636363636365
Colombia,100,51,0.51
Costa Rica,7,4,0.5714285714285714
Costa Rica y NIcaragua,2,1,0.5
Ecuador,9,1,0.1111111111111111
El Salvador,16,11,0.6875
Estados Unidos,1,0,0.0
Guatemala,12,9,0.75
Guatemala y Nicaragua,12,7,0.5833333333333334
Honduras,4,0,0.0
Mexico,16,5,0.3125
México,30,15,0.5
Nicaragua,4,2,0.5
Nicaragua y Guatemala,1,1,1.0
Panama,4,3,0.75
Panamá,8,3,0.375
Paraguay,2,0,0.0
Peru,48,17,0.3541666666666667
Perú,65,41,0.6307692307692307
Puerto Rico,2,1,0.5
USA,1,1,1.0
United States,3,4,1.3333333333333333
Venezuela,1,2,2.0
